¿Noticia reportada por ambos medios?,Sitio web,Fecha de publicación,Diario,Seccion,Subsección,Título,Concordancias halladas en el texto,Estados referidos,Versión
,http://www.jornada.unam.mx/ultimas/2017/04/26/campesinos-2018toman2019-sre-exigen-reunion-con-videgaray,26/04/2017,LaJornada,ultimas,política,Campesinos ‘toman’ SRE; exigen reunión con Videgaray,manifestación | demanda | toma de lugares,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/27/politica/011n1pol,27/04/2017,LaJornada,politica,,"Abandonó el gobierno federal las recomendaciones del GIEI. Padres de los 43 exigen resultados concretos de pesquisas. Mantendrán el plantón por tiempo indefinido en la PGR, afirman. ",marcha | mitin | manifestación | plantón | protesta,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/27/campesinos-dejan-planton-y-se-dirigen-al-monumento-la-revolucion,27/04/2017,ElUniversal,metropoli,cdmx,Campesinos dejan plantón y se dirigen al Monumento a la Revolución,plantón | manifestación | protesta,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/27/denuncia-artista-trans-discriminacion-en-museo-de-tolerancia,27/04/2017,ElUniversal,metropoli,cdmx,Denuncia artista trans discriminación en Museo de Tolerancia,protesta,Ciudad de México/,digital
Sí,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/27/padres-de-los-43-protestan-frente-la-camara-de-diputados,27/04/2017,ElUniversal,metropoli,cdmx,Padres de los 43 protestan frente a la Cámara de Diputados,protesta | bloqueo | manifestación,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/27/perredistas-protestas-afuera-de-asamblea-legislativa-e-impiden,27/04/2017,ElUniversal,metropoli,cdmx,Perredistas protestas afuera de Asamblea Legislativa e impiden acceso,protesta | bloqueo | manifestación,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/27/exigen-padres-de-los-43-comparecencia-del-procurador-cervantes,27/04/2017,LaJornada,ultimas,política,Exigen padres de los 43 comparecencia del procurador Cervantes,protesta | plantón | movilización | mitin,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/28/politica/012n1pol,28/04/2017,LaJornada,politica,,"Diputados mayoritean reforma que perjudica los derechos de las audiencias de radio y Tv. Las modificaciones de PRI, PAN, PVEM y Panal, revés a la transparencia informativa. Fue notable el ausentismo de los legisladores y la sesión estuvo marcada por un pobre debate. ",protesta,Ciudad de México/,impresa
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/28/padres-de-los-43-normalistas-exigen-respuestas-pgr?fb_comment_id=1557103107695816_1557161734356620,28/04/2017,ElUniversal,nacion,politica,Padres de los 43 normalistas exigen respuestas a PGR,plantón | demanda,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/2017/04/28/museo-de-la-tolerancia-no-tolera-drag-queen,28/04/2017,ElUniversal,,,"Museo de la Tolerancia no tolera a ""drag queen""",protesta,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/cdmx/2017/04/29/marcha-contra-aborto-complica-circulacion-en-zona-centro,29/04/2017,ElUniversal,metropoli,cdmx,Marcha contra aborto complica circulación en zona centro,manifestación | movilización | marcha,Ciudad de México/,digital
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/29/padres-de-los-43-piden-la-pgr-respuestas,29/04/2017,ElUniversal,nacion,politica,Padres de los 43 piden a la PGR respuestas,plantón | demanda,Ciudad de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/29/en-protesta-denuncian-40-mil-feminicidios-en-el-pais,29/04/2017,LaJornada,ultimas,sociedad y justicia,"En protesta, denuncian 40 mil feminicidios en el país",protesta,Ciudad de México/,digital
,http://www.jornada.unam.mx/2017/04/09/estados/025n1est,09/04/2017,LaJornada,estados,,"Marchan contra violencia hacia las mujeres. En Colima, 11 asesinadas de enero a abril; acusan activistas omisión de autoridades. ",marcha | protesta | manifestación,Colima/,impresa
,http://www.jornada.unam.mx/ultimas/2017/04/02/desalojan-en-durango-campamento-de-trabajadores-de-primero-mining,02/04/2017,LaJornada,ultimas,estados,Desalojan en Durango campamento de trabajadores de Primero Mining,huelga | campamento | bloqueo,Durango/,digital
,http://www.jornada.unam.mx/2017/04/05/politica/015n2pol,05/04/2017,LaJornada,politica,,El sindicato minero denuncia acciones fraudulentas de la empresa Primero. La firma canadiense se niega a negociar para levantar la huelga. ,huelga,Durango/,impresa
,http://www.jornada.unam.mx/2017/04/09/estados/023n2est,09/04/2017,LaJornada,estados,,Ejidatarios de Durango toman caseta; exigen pago justo por tierras. Solicitan $200 mil por cada hectárea utilizada para autopista. ,bloqueo | manifestación | toma de lugares,Durango/,impresa
,http://www.jornada.unam.mx/2017/04/14/estados/024n2est,14/04/2017,LaJornada,estados,,"Termina huelga en Tayoltita, Durango; acuerdan mineros y Primero Mining. En 59 días de paro la empresa dejó de obtener 28.1 mdd. ",marcha | bloqueo | huelga,Durango/,impresa
,http://www.jornada.unam.mx/2017/04/18/politica/010n1pol,18/04/2017,LaJornada,politica,,Levantan la huelga en Primero Compañía Minera; logran aumento global de 16.5%. Los trabajadores recibirán 100% de los salarios caídos de 58 días de paro. ,huelga | paro de labores,Durango/,impresa
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/1/inauguran-paseo-jerusalen-en-naucalpan-invierten-9-mdp,01/04/2017,ElUniversal,metropoli,edomex,Inauguran. Paseo Jerusalén en Naucalpan; invierten 9 mdp,protesta,Estado de México/,digital
,http://www.eluniversal.com.mx/especiales/metropoli/2017/04/5/813322/nota/827406/6/isidro-pastor-en-huelga-de-hambre-por-revocacion-de-candidatura,05/04/2017,ElUniversal,metropoli,,Van por la joya de la corona,huelga de hambre,Estado de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/19/quieren-limitar-mi-tiempo-de-campana-isidro-pastor,19/04/2017,ElUniversal,metropoli,edomex,Quieren limitar mi tiempo de campaña: Isidro Pastor,campamento | huelga de hambre,Estado de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/19/vecinos-de-ecatepec-bloquean-avenida-por-desabasto-de-agua,19/04/2017,LaJornada,ultimas,estados,Vecinos de Ecatepec bloquean avenida por desabasto de agua,manifestación | bloqueo,Estado de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/20/mi-nombre-ya-esta-en-boletas-electorales-isidro-pastor,20/04/2017,ElUniversal,metropoli,edomex,Mi nombre ya está en boletas electorales: Isidro Pastor,plantón | huelga de hambre,Estado de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/23/elecciones-edomex-solo-seis-candidatos-participaran-en-primer,23/04/2017,ElUniversal,metropoli,edomex,Elecciones Edomex: Sólo seis candidatos participarán en primer debate,huelga de hambre,Estado de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/25/previo-al-debate-de-los-candidatos-al-gobierno-del-edomex,25/04/2017,ElUniversal,metropoli,edomex,"Entre protestas, llegaron candidatos por Edomex al debate",protesta | manifestación | huelga de hambre,Estado de México/,digital
,http://www.eluniversal.com.mx/articulo/metropoli/edomex/2017/04/26/isidro-pastor-cumple-8-dias-en-huelga-de-hambre?fb_comment_id=1272214222895414_1272229389560564,26/04/2017,ElUniversal,metropoli,edomex,Isidro Pastor cumple 8 días en huelga de hambre,huelga de hambre,Estado de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/27/marchan-por-la-libertad-del-profesor-oscar-hernandez-en-texcoco,27/04/2017,LaJornada,ultimas,estados,Marchan por la libertad del profesor Óscar Hernández en Texcoco,marcha | manifestación,Estado de México/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/27/pastor-medrano-levanta-huelga-de-hambre-1,27/04/2017,LaJornada,ultimas,estados,Pastor Medrano levanta huelga de hambre,protesta | huelga,Estado de México/,digital
,http://www.jornada.unam.mx/2017/04/30/politica/010n1pol,30/04/2017,LaJornada,politica,,Colectivos denuncian la omisión oficial frente a las víctimas de feminicidios. Se manifiestan para sacar la voz por nuestras asesinadas y desaparecidas. ,protesta | manifestación | toma de lugares,Estado de México/,impresa
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/2/exigen-en-guanajuato-freno-la-violencia-contra-periodistas,02/04/2017,ElUniversal,estados,,Exigen en Guanajuato freno a la violencia contra periodistas,manifestación | demanda,Guanajuato/,digital
,http://www.jornada.unam.mx/2017/04/03/politica/003n2pol,03/04/2017,LaJornada,politica,,Periodistas de SLP y Guanajuato piden justicia por asesinatos de comunicadores. Llaman a poner un alto a agresiones contra informadores. ,manifestación | demanda,Guanajuato/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/2/se-compromete-hector-astudillo-detener-el-tequilero,02/04/2017,ElUniversal,estados,,"Se compromete Héctor Astudillo a detener a ""El Tequilero""",paro de labores,Guerrero/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/3/protestan-en-autopista-del-sol-por-agresiones-periodistas,03/04/2017,ElUniversal,estados,,Protestan en Autopista del Sol por agresiones a periodistas,protesta,Guerrero/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/03/reporteros-bloquean-autopista-del-sol-repudian-violencia,03/04/2017,LaJornada,ultimas,estados,Reporteros protestan contra ataques en Autopista del Sol,protesta | manifestación | toma de lugares | bloqueo,Guerrero/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/13/personal-de-salud-de-guerrero-protesta-contra-sindicato,13/04/2017,LaJornada,ultimas,estados,Personal de salud de Guerrero protesta contra sindicato,protesta | manifestación,Guerrero/,digital
,http://www.jornada.unam.mx/2017/04/17/estados/026n6est,17/04/2017,LaJornada,estados,,Protestan policías por falta de vacaciones. ,protesta | movilización,Guerrero/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/21/exigen-justicia-por-asesinato-de-demetrio-saldivar,21/04/2017,ElUniversal,estados,,Exigen justicia por asesinato de Demetrio Saldívar,marcha,Guerrero/,digital
,http://www.eluniversal.com.mx/articulo/nacion/politica/2017/04/21/ven-nulo-avance-en-investigacion-de-los-43,21/04/2017,ElUniversal,nacion,politica,Ven “nulo avance” en investigación de los 43,plantón | mitin | protesta | marcha,Guerrero/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/25/toman-50-normalistas-radiodifusoras-y-queman-trailer-en-chilpancingo,25/04/2017,ElUniversal,estados,,Toman 50 normalistas radiodifusoras y queman tráiler en Chilpancingo,toma de lugares | protesta,Guerrero/,digital
,http://www.jornada.unam.mx/2017/04/26/politica/009n2pol,26/04/2017,LaJornada,politica,,"En respuesta al desalojo, incendian dos camiones en el municipio de Tixtla. La lucha no parará hasta encontrar a los 43 desaparecidos. ",plantón | bloqueo | toma de lugares,Guerrero/,impresa
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/6/suspenden-arranque-de-operativo-de-semana-santa-en-ixmiquilpan,06/04/2017,ElUniversal,estados,,Suspenden arranque de operativo de Semana Santa en Ixmiquilpan,bloqueo,Hidalgo/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/06/hidalgo-activistas-bloquean-la-mexico-laredo,06/04/2017,LaJornada,ultimas,estados,Hidalgo: activistas bloquean la México-Laredo,protesta | bloqueo,Hidalgo/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/10/inicia-viacrucis-del-migrante-mexico-no-da-refugio-acusan?fb_comment_id=1287929951298591_1288311127927140,10/04/2017,ElUniversal,estados,,"Inicia Viacrucis del Migrante; México no da refugio, acusan",caravana,Hidalgo/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/10/acusan-abuso-de-policias-en-cateo-domicilio-en-hidalgo,10/04/2017,ElUniversal,estados,,Acusan abuso de policías en cateo a domicilio en Hidalgo,bloqueo | demanda,Hidalgo/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/16/pobladores-toman-alcaldia-de-tasquillo-hidalgo-exigen-linchar-a-ladrones,16/04/2017,LaJornada,ultimas,estados,"Pobladores toman alcaldía de Tasquillo, Hidalgo; exigen linchar a ladrones",bloqueo | demanda | toma de lugares,Hidalgo/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/19/activistas-se-resguardan-en-la-comision-de-derechos-humanos,19/04/2017,ElUniversal,estados,,Activistas se resguardan en la Comisión de Derechos Humanos,plantón,Hidalgo/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/24/deja-un-herido-rina-entre-policias-y-comerciantes-en-pachuca?fb_comment_id=1419602314774521_1419746211426798,24/04/2017,ElUniversal,estados,,Deja un herido riña entre policías y comerciantes en Pachuca,manifestación,Hidalgo/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/27/alistan-protesta-contra-funcionarios-en-ixmiquilpan,27/04/2017,ElUniversal,estados,,Alistan protesta contra funcionarios en Ixmiquilpan,toma de lugares | protesta | manifestación,Hidalgo/,digital
,http://www.jornada.unam.mx/2017/04/27/politica/011n2pol,27/04/2017,LaJornada,politica,,"Cumple 91 años la Normal Rural de Ayotzinapa. La institución, atenta a las inquietudes estudiantiles, afirma investigador. ",plantón,Jalisco/,impresa
,http://www.jornada.unam.mx/2017/04/02/politica/009n3pol,02/04/2017,LaJornada,politica,,Exigen en Chihuahua y Veracruz alto a las agresiones contra comunicadores. Demandan acelerar indagatorias del caso Breach Velducea. ,marcha | manifestación | protesta,Más de uno,impresa
,http://www.jornada.unam.mx/ultimas/2017/04/02/periodistas-exigen-justicia-y-respeto-a-su-trabajo-en-2-entidades,02/04/2017,LaJornada,ultimas,estados,Periodistas exigen justicia y respeto a su trabajo en 2 entidades,manifestación | protesta,Más de uno,digital
,http://www.jornada.unam.mx/2017/04/23/sociedad/028n1soc,23/04/2017,LaJornada,sociedad,,"Quienes hacen la ciencia marcharon ayer en defensa del conocimiento. Llaman a aprender de los grandes retos del país y resolverlos de manera objetiva. Se realizaron movilizaciones en Puebla, Querétaro y Morelos, en el contexto del Día de la Tierra. ",marcha | demanda | mitin,Más de uno,impresa
,http://www.eluniversal.com.mx/articulo/nacion/seguridad/2017/04/23/investigadores-y-cientificos-marchan-contra-los-recortes,23/04/2017,ElUniversal,nacion,seguridad,Investigadores y científicos marchan contra los recortes,manifestación | demanda | marcha,Más de uno,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/8/vinculan-proceso-38-comuneros-de-nahuatzen,08/04/2017,ElUniversal,estados,,Vinculan a proceso a 38 comuneros de Nahuatzen,protesta | bloqueo,Michoacán/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/11/indigenas-de-michoacan-condenan-la-agresion-policial-en-arantepacua,11/04/2017,LaJornada,ultimas,política,Indígenas de Michoacán condenan la agresión policial en Arantepacua,manifestación | toma de lugares,Michoacán/,digital
,http://www.eluniversal.com.mx/articulo/nacion/2017/04/13/liberan-comuneros-de-arantepacua,13/04/2017,ElUniversal,nacion,,Liberan a comuneros de Arantepacua,bloqueo,Michoacán/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/4/comuneros-queman-vehiculo-en-la-carretera-patzcuaro-uruapan,04/04/2017,ElUniversal,estados,,Comuneros queman vehículo en la carretera Pátzcuaro-Uruapan,bloqueo,Michoacán/,digital
,http://www.jornada.unam.mx/2017/04/07/politica/009n1pol,07/04/2017,LaJornada,politica,,"Comuneros de Arantepacua exigen indagatoria a fondo. Los agentes fueron emboscados , insiste jefe de la SSP. Demandan pobladores la liberación de todos los detenidos. ",protesta | manifestación,Michoacán/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/7/liberan-37-comuneros-de-michoacan-se-queda-uno-en-prision,07/04/2017,ElUniversal,estados,,Liberan a 37 comuneros de Michoacán; se queda uno en prisión,bloqueo,Michoacán/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/12/bloquean-comuneros-carreteras-y-vias-ferreas-en-michoacan,12/04/2017,ElUniversal,estados,,Bloquean comuneros carreteras y vías férreas en Michoacán,bloqueo,Michoacán/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/12/liberan-9-comuneros-detenidos-la-semana-pasada-en-arantepacua,12/04/2017,ElUniversal,estados,,Liberan a 9 comuneros detenidos la semana pasada en Arantepacua,toma de lugares | bloqueo,Michoacán/,digital
,http://www.jornada.unam.mx/2017/04/13/politica/008n1pol,13/04/2017,LaJornada,politica,,Quedan libres nueve comuneros michoacanos. Fueron detenidos en Arantepacua. ,protesta | bloqueo,Michoacán/,impresa
,http://www.jornada.unam.mx/ultimas/2017/04/20/miles-de-mineros-recuerdan-a-sus-companeros-muertos-en-michoacan,20/04/2017,LaJornada,ultimas,estados,Miles de mineros marchan por sus compañeros muertos en Michoacán,huelga | marcha | manifestación,Michoacán/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/26/indigenas-exigen-la-liberacion-de-detenidos-en-morelia,26/04/2017,ElUniversal,estados,,Indígenas exigen la liberación de detenidos en Morelia,manifestación | marcha,Michoacán/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/26/cnte-e-indigenas-marchan-en-morelia,26/04/2017,LaJornada,ultimas,estados,CNTE e indígenas marchan en Morelia,marcha | bloqueo,Michoacán/,digital
,http://www.jornada.unam.mx/2017/04/01/estados/026n1est,01/04/2017,LaJornada,estados,,"Con 8 meses de retraso, reabre Autopista del Sol, ampliada de 4 a 10 carriles. En Cuernavaca, vecinos protestan por los daños generados a sus casas, algunas cortadas. Falta reparar tuberías de agua, drenaje y luz, afectadas por las obras y terminar muro de contención. ",protesta | demanda,Morelos/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/4/colocan-banderas-de-huelga-en-planta-nissan-de-cuernavaca,04/04/2017,ElUniversal,estados,,Colocan banderas de huelga en planta Nissan de Cuernavaca,huelga,Morelos/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/5/sindicato-de-nissan-rechaza-alza-y-va-huelga,05/04/2017,ElUniversal,estados,,Sindicato de Nissan rechaza alza y va a huelga,huelga,Morelos/,digital
,http://www.jornada.unam.mx/2017/04/06/politica/017n1pol,06/04/2017,LaJornada,politica,,Se mantiene la huelga en Nissan Mexicana; ofrecen 4% de aumento. Los trabajadores pretenden obtener un alza salarial de 5.5 por ciento. ,huelga,Morelos/,impresa
,http://www.jornada.unam.mx/2017/04/08/politica/015n3pol,08/04/2017,LaJornada,politica,,Levantan huelga en planta de Nissan en Morelos. Trabajadores aceptan aumento de 4.5%. ,huelga,Morelos/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/8/finaliza-huelga-en-nissan-aceptan-45-de-incremento,08/04/2017,ElUniversal,estados,,"Finaliza huelga en Nissan, aceptan 4.5% de incremento",demanda | huelga,Morelos/,digital
,http://www.eluniversal.com.mx/articulo/nacion/sociedad/2017/04/9/nissan-y-sindicato-acuerdan-reanudar-actividades-en-morelos,09/04/2017,ElUniversal,nacion,sociedad,Nissan y sindicato acuerdan reanudar actividades en Morelos,huelga,Morelos/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/28/evangelicos-arropan-al-cuau-quieren-que-sea-gobernador,28/04/2017,ElUniversal,estados,,"Evangélicos arropan al Cuau , quieren que sea gobernador",bloqueo,Morelos/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/7/atribuyen-protesta-en-topo-chico-reportaje-sobre-cobro-de-piso,07/04/2017,ElUniversal,estados,,Atribuyen protesta en Topo Chico a reportaje sobre cobro de piso,protesta,Nuevo León/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/2/acusan-muerte-por-negligencia-medica-en-parto,02/04/2017,ElUniversal,estados,,Acusan muerte por negligencia médica en parto,protesta | mitin | marcha,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/4/policias-toman-palacio-municipal-y-declaran-paro-laboral-en-oaxaca,04/04/2017,ElUniversal,estados,,"Policías ""toman"" Palacio Municipal y declaran paro laboral en Oaxaca",toma de lugares | paro de labores | demanda,Oaxaca/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/5/cnte-arrecia-protestas-y-toma-centros-comerciales-en-oaxaca,05/04/2017,ElUniversal,estados,,CNTE arrecia protestas y toma centros comerciales en Oaxaca,demanda | protesta | bloqueo,Oaxaca/,digital
,http://www.jornada.unam.mx/2017/04/06/sociedad/037n1soc,06/04/2017,LaJornada,sociedad,,"Autoridades de Oaxaca y la CNTE acuerdan la instalación de una mesa de negociación. El encuentro se realizará mañana y será encabezado por el gobernador Alejandro Murat. Los profesores, apoyados por normalistas, realizaron varios bloqueos en la capital oaxaqueña. ",demanda | protesta | movilización | marcha | bloqueo,Oaxaca/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/8/transportistas-y-empresarios-protagonizan-gresca-en-oaxaca,08/04/2017,ElUniversal,estados,,Transportistas y empresarios protagonizan gresca en Oaxaca,protesta | huelga,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/10/con-marchas-y-protestas-conmemoran-emiliano-zapata-en-oaxaca,10/04/2017,ElUniversal,estados,,Con marchas y protestas conmemoran a Emiliano Zapata en Oaxaca,marcha | boicot | protesta | demanda | mitin,Oaxaca/,digital
,http://www.jornada.unam.mx/ultimas/2017/04/10/cumple-dos-dias-bloqueo-carretero-en-el-istmo-de-tehuantepec,10/04/2017,LaJornada,ultimas,estados,Cumple dos días bloqueo carretero en el Istmo de Tehuantepec,bloqueo | manifestación,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/11/plantea-parte-patronal-liquidar-choferes-en-huelga-en-oaxaca,11/04/2017,ElUniversal,estados,,Plantea parte patronal liquidar a choferes en huelga en Oaxaca,manifestación | huelga,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/12/proponen-resolver-paro-de-choferes-con-liquidacion,12/04/2017,ElUniversal,estados,,Proponen resolver paro de choferes con liquidación,manifestación | huelga,Oaxaca/,digital
,http://www.jornada.unam.mx/2017/04/16/politica/007n3pol,16/04/2017,LaJornada,politica,,Solalinde recibe a caravana de migrantes. ,manifestación | caravana,Oaxaca/,impresa
,http://www.jornada.unam.mx/2017/04/17/politica/010n1pol,17/04/2017,LaJornada,politica,,El Viacrucis de migrantes avanza a Veracruz. ,caravana,Oaxaca/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/19/toman-12-autobuses-y-amagan-con-realizar-huelga-en-uabjo,19/04/2017,ElUniversal,estados,,Toman 12 autobuses y amagan con realizar huelga en UABJO,huelga,Oaxaca/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/20/pobladores-exigen-combate-sequia-en-oaxaca-bloquean-carretera,20/04/2017,ElUniversal,estados,,Pobladores exigen combate a sequía en Oaxaca; bloquean carretera,manifestación | bloqueo | demanda,Oaxaca/,digital
,http://www.jornada.unam.mx/2017/04/21/estados/028n7est,21/04/2017,LaJornada,estados,,Demandan agua en Jalapa del Marqués. ,manifestación | bloqueo,Oaxaca/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/21/acuerdan-levantar-paro-de-transporte-en-oaxaca,21/04/2017,ElUniversal,estados,,Acuerdan levantar paro de transporte en Oaxaca,paro de labores | huelga,Oaxaca/,digital
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/23/detienen-11-campesinos-que-bloqueaban-acceso-parque-eolico,23/04/2017,ElUniversal,estados,,Detienen a 11 campesinos que bloqueaban acceso a parque eólico,toma de lugares | demanda | bloqueo,Oaxaca/,digital
,http://www.jornada.unam.mx/2017/04/24/estados/025n1est,24/04/2017,LaJornada,estados,,"Aprehenden a 11 ejidatarios por bloquear entrada a parque eólico. Reclamaban pagos de $30 mil y desde hacía dos meses habían paralizado turbinas. La empresa EDF interpuso denuncia ante la fiscalía del Oaxaca Se desconoce el paradero de los detenidos Encargada de Gobierno ofrece mediar Este lunes iba a firmarse acuerdo, señalan. ",bloqueo | demanda | manifestación | protesta,Oaxaca/,impresa
Sí,http://www.eluniversal.com.mx/articulo/estados/2017/04/24/desalojan-bloqueo-parque-eolico-arrestan-once,24/04/2017,ElUniversal,estados,,Desalojan bloqueo a parque eólico; arrestan a once,demanda | bloqueo,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/24/campesinos-de-puente-de-madera-bloquean-carretera-panamericana-en-oaxaca,24/04/2017,ElUniversal,estados,,Campesinos de Puente de Madera bloquean carretera Panamericana en Oaxaca,bloqueo,Oaxaca/,digital
,http://www.jornada.unam.mx/2017/04/25/estados/026n1est,25/04/2017,LaJornada,estados,,Acusan a líderes de ejidatarios de extorsionar a empresas eólicas. Los detenidos en el Istmo fueron manipulados : gobierno estatal. ,bloqueo | demanda,Oaxaca/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/25/por-falta-de-agua-bloquean-carretera-en-tehuantepec,25/04/2017,ElUniversal,estados,,"Por falta de agua, bloquean carretera en Tehuantepec",demanda | bloqueo | marcha,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/26/campesinos-bloquean-la-carretera-panamericana,26/04/2017,ElUniversal,estados,,Campesinos bloquean la carretera Panamericana,bloqueo,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/26/arriba-al-istmo-de-tehuantepec-primer-vuelo-de-la-cdmx,26/04/2017,ElUniversal,estados,,"Arriba al Istmo de Tehuantepec, primer vuelo de la CDMX",manifestación | bloqueo,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/26/reclaman-justicia-familiares-de-cinco-asesinados-en-oaxaca,26/04/2017,ElUniversal,estados,,Reclaman justicia familiares de cinco asesinados en Oaxaca,protesta | demanda,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/27/se-intensifican-marchas-y-bloqueos-en-oaxaca,27/04/2017,ElUniversal,estados,,Se intensifican marchas y bloqueos en Oaxaca,protesta | demanda | bloqueo | marcha,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/28/tenia-16-anos-fue-victima-de-un-conflicto-agrario,28/04/2017,ElUniversal,estados,,Tenía 16 años; fue víctima de un conflicto agrario,protesta,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/28/tzotziles-en-huelga-de-hambre-alcaldia-les-adeuda-13-quincenas,28/04/2017,ElUniversal,estados,,"Tzotziles, en huelga de hambre; alcaldía les adeuda 13 quincenas",plantón | demanda | huelga de hambre,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/29/impide-seccion-22-evaluaciones-magisteriales-en-oaxaca,29/04/2017,ElUniversal,estados,,Impide Sección 22 evaluaciones magisteriales en Oaxaca,manifestación,Oaxaca/,digital
,http://www.eluniversal.com.mx/articulo/estados/2017/04/14/se-crucifica-en-congreso-de-puebla?fb_comment_id=1697703490256722_1697756236918114,14/04/2017,ElUniversal,estados,,"Se ""crucifica"" en Congreso de Puebla",plantón | protesta,Puebla/,digital
,http://www.jornada.unam.mx/2017/04/21/politica/014n4pol,21/04/2017,LaJornada,politica,,Primera audiencia de docentes despedidos por cuestionar reforma. ,protesta,Quintana Roo/,impresa
,http://www.jornada.unam.mx/2017/04/26/estados/030n4est,26/04/2017,LaJornada,estados,,La Secretaría de Salud de Sinaloa fue saqueada. ,manifestación,Sinaloa/,impresa
,http://www.eluniversal.com.mx/articulo/estados/2017/04/27/tiene-uber-conflictos-en-11-entidades,27/04/2017,ElUniversal,estados,,Tiene Uber conflictos en 11 entidades,bloqueo,Sinaloa/,digital
